Date,A_SB,A_NB,A_Total,B_SB,B_NB,B_Total,H_SB,H_NB,H_Total,A_Day,H_Day,A_WD,H_WD,A_M,H_M,A_DM,H_DM,Year
1/1/2019,4791,6094,10885,6215,8470,14685,4679,6844,11523,2,2,0,0,1,1,1,2,2019
1/2/2019,5678,6445,12123,5526,7377,12903,4160,5961,10121,3,3,0,0,1,1,2,3,2019
1/3/2019,5962,6492,12454,5275,6580,11855,3971,5317,9288,4,4,0,0,1,1,3,4,2019
1/4/2019,6124,8369,14493,5118,6025,11144,3853,4869,8722,5,5,1,1,1,1,4,5,2019
1/5/2019,6200,8665,14865,5420,8503,13923,4080,6871,10951,6,6,1,1,1,1,5,6,2019
1/6/2019,4963,8714,13677,4793,8618,13411,3608,6964,10572,7,7,1,1,1,1,6,7,2019
1/7/2019,3905,7996,11901,2917,6372,9289,2196,5149,7345,1,1,0,0,1,1,7,8,2019
1/8/2019,3110,6672,9782,3019,5961,8981,2273,4817,7090,2,2,0,0,1,1,8,9,2019
1/9/2019,2636,5322,7958,2698,5118,7816,2031,4136,6167,3,3,0,0,1,1,9,10,2019
1/10/2019,3177,4783,7960,2929,4604,7533,2205,3720,5925,4,4,0,0,1,1,10,11,2019
1/11/2019,3188,5030,8218,3410,4354,7764,2567,3518,6085,5,5,1,1,1,1,11,12,2019
1/12/2019,2927,5766,8693,2906,4313,7219,2188,3485,5673,6,6,1,1,1,1,12,13,2019
1/13/2019,2974,5729,8703,2637,5289,7926,1985,4274,6259,7,7,1,1,1,1,13,14,2019
1/14/2019,1931,4413,6344,1767,4685,6452,1330,3786,5116,1,1,0,0,1,1,14,15,2019
1/15/2019,2056,4208,6264,1914,4154,6069,1441,3357,4798,2,2,0,0,1,1,15,16,2019
1/16/2019,2179,3558,5737,2144,4149,6293,1614,3353,4967,3,3,0,0,1,1,16,17,2019
1/17/2019,3321,3636,6957,3244,3402,6646,2442,2749,5191,4,4,0,0,1,1,17,18,2019
1/18/2019,3858,3617,7475,3116,3403,6520,2346,2750,5096,5,5,1,1,1,1,18,19,2019
1/19/2019,2977,4293,7270,2500,3668,6168,1882,2964,4846,6,6,1,1,1,1,19,20,2019
1/20/2019,2439,4593,7032,2674,4635,7309,2013,3745,5758,7,7,1,1,1,1,20,21,2019
1/21/2019,1751,4809,6560,1740,3679,5419,1310,2973,4283,1,1,0,0,1,1,21,22,2019
1/22/2019,1844,3983,5827,2010,3237,5247,1513,2616,4129,2,2,0,0,1,1,22,23,2019
1/23/2019,2074,3249,5323,2305,2896,5201,1735,2340,4075,3,3,0,0,1,1,23,24,2019
1/24/2019,2959,3393,6352,3280,3318,6598,2469,2681,5150,4,4,0,0,1,1,24,25,2019
1/25/2019,3284,3213,6497,3475,3091,6566,2616,2498,5114,5,5,1,1,1,1,25,26,2019
1/26/2019,2472,3890,6362,2455,3541,5995,1848,2861,4709,6,6,1,1,1,1,26,27,2019
1/27/2019,2453,4243,6696,2762,4517,7279,2079,3650,5729,7,7,1,1,1,1,27,28,2019
1/28/2019,1801,3955,5756,2083,3146,5229,1568,2542,4110,1,1,0,0,1,1,28,29,2019
1/29/2019,1761,3116,4877,2314,3138,5452,1742,2536,4278,2,2,0,0,1,1,29,30,2019
